Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC,Year
Carlos Parra,MET,M,18,16,1367,0,2,9,4,26,10,0,3,0,1998
Mike Clark,CLB,D,30,30,2571,0,2,9,2,41,34,1,4,1,1998
Kerry Zavagnin,MET,M,18,7,754,0,2,11,0,24,11,0,2,2,1998
Carey Talley,DC ,D,29,19,1756,0,2,15,6,38,16,0,3,0,1998
Danny Pena,LA ,D,25,25,2049,0,2,23,8,36,21,0,6,2,1998
Brian Taylor,MIA,M,6,3,288,0,1,0,0,5,5,1,0,0,1998
Andrew Lewis,CHI,M,13,6,623,0,1,0,0,8,7,0,0,0,1998
Jamar Beasley,NE ,M,3,0,49,0,1,0,0,1,1,3,0,0,1998
Ramiro Corrales,MET,M,4,3,301,0,1,2,2,4,0,0,0,0,1998
Troy Dayak,SJ ,D,11,7,607,0,1,2,2,11,4,0,0,0,1998
Jimmy Glenn,CLB,F,5,3,242,0,1,2,2,0,2,2,0,0,1998
Rhett Harty,MET,D,7,6,544,0,1,3,2,12,6,0,0,0,1998
Brian Loftin,TB ,F,8,2,219,0,1,3,1,3,8,0,0,0,1998
Clint Peay,DC ,D,6,5,394,0,1,3,1,9,3,0,3,0,1998
Mike Slivinski,DC ,M,16,1,258,0,1,4,0,2,2,0,0,0,1998
Sam George,TB ,M,21,20,1591,0,1,4,0,17,15,0,3,0,1998
Wade Webber,MIA,D,28,28,2488,0,1,6,2,43,23,0,7,0,1998
Daniel Hernandez,LA ,M,17,3,458,0,1,9,5,9,14,0,0,0,1998
Arley Palacios,MET,D,24,23,1986,0,1,10,1,40,15,0,8,1,1998
Carlos Rocha,NE ,F,16,4,537,0,1,11,3,9,11,5,1,0,1998
Evans Wise,NE ,M,17,6,764,0,1,17,6,26,31,3,2,0,1998
John Maessner,MIA,M-D,27,15,1575,0,1,18,6,10,23,6,0,0,1998
Sean Bowers,KC ,D,29,29,2565,0,1,22,5,38,22,1,1,1,1998
Zak Ibsen,CHI,M,27,5,908,0,1,26,10,6,10,5,1,0,1998
Rob Jachym,NE ,F,0,0,0,0,0,0,0,0,0,0,0,0,1998
Marco Ferruzzi,LA ,M,0,0,0,0,0,0,0,0,0,0,0,0,1998
John DeBrito,KC ,D,9,3,267,0,0,0,0,4,1,0,0,0,1998
Carlos Ledesma,MET,F,1,0,18,0,0,0,0,0,0,0,0,0,1998
Alen Kozic,MIA,M,2,1,57,0,0,0,0,2,1,0,0,0,1998
John Jones,TB ,M,0,0,0,0,0,0,0,0,0,0,0,0,1998
Edgar Hernandez,DAL,F,0,0,0,0,0,0,0,0,0,0,0,0,1998
Andre Nunley,COL,D,1,0,1,0,0,0,0,0,0,0,0,0,1998
Alberto Montoya,SJ ,M,1,1,59,0,0,0,0,1,3,0,0,0,1998
R.T. Moore,TB ,D,2,0,62,0,0,0,0,0,2,0,0,0,1998
Tom McLaughlin,NE ,F,1,0,29,0,0,0,0,1,0,0,0,0,1998
Tim Martin,SJ ,D,23,21,1847,0,0,0,0,13,28,0,0,0,1998
Ben Parry,SJ ,D,0,0,0,0,0,0,0,0,0,0,0,0,1998
Curt Onalfo,DC ,D,3,0,72,0,0,0,0,0,1,0,0,0,1998
Juan Sastoque,DAL,F,3,0,49,0,0,0,0,0,0,1,0,0,1998
Darren Sawatzky,DAL,F,1,0,3,0,0,0,0,0,0,0,0,0,1998
Zion Renfrum,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,1998
Andrew Restrepo,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,1998
Michael Richardson,CHI,D,1,0,6,0,0,0,0,0,0,0,0,0,1998
Nick Theslof,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0,1998
Barry Swift,MET,F,2,0,30,0,0,0,0,2,0,0,0,0,1998
Travis Roy,MET,M,0,0,0,0,0,0,0,0,0,0,0,0,1998
Lyle Yorks,DC ,M,1,0,4,0,0,0,0,0,0,0,0,0,1998
Jesse Van Saun,NE ,F,5,0,117,0,0,0,0,4,3,0,0,0,1998
Craig Yacks,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0,1998
Steve Bell,TB ,F-M,0,0,0,0,0,0,0,0,0,0,0,0,1998
Chris Brown,DAL,D,1,0,16,0,0,0,0,0,0,0,0,0,1998
Dan Calichman,LA ,D,8,8,682,0,0,0,0,5,7,0,1,0,1998
Danny Care,DC ,D,1,1,45,0,0,0,0,2,0,0,1,0,1998
Joe Carver,CHI,F,0,0,0,0,0,0,0,0,0,0,0,0,1998
Eric Chaisongkram,LA ,M,0,0,0,0,0,0,0,0,0,0,0,0,1998
Chuck Codd,CHI,D,0,0,0,0,0,0,0,0,0,0,0,0,1998
Kevin Coye,NE ,D,0,0,0,0,0,0,0,0,0,0,0,0,1998
Ubusuku Abukusumo,CLB,D,7,3,309,0,0,0,0,3,2,0,0,0,1998
Manny Lagos,CHI,M,1,0,11,0,0,0,0,1,0,0,0,0,1998
Brian Dunseth,NE ,D,18,15,1416,0,0,0,0,21,6,0,3,0,1998
Chad McCarty,TB ,D,6,6,540,0,0,0,0,11,6,0,1,0,1998
Brian Bliss,KC ,D,3,1,106,0,0,1,0,2,0,0,0,0,1998
Brian Bates,CHI,M,6,4,286,0,0,1,0,5,1,0,0,0,1998
Eric Dade,DAL,D,20,15,1393,0,0,1,0,11,7,0,5,0,1998
Jake Dancy,KC ,M,2,2,135,0,0,1,0,3,1,0,0,0,1998
Judah Cooks,DC ,M,1,1,90,0,0,1,1,1,1,0,0,0,1998
Jose Botello,LA ,F,2,0,27,0,0,1,0,2,0,0,0,0,1998
Jeff Zaun,MET,D,4,4,360,0,0,1,0,2,5,0,0,0,1998
Esmundo Rodriguez,SJ ,M,3,0,52,0,0,1,0,2,0,0,1,0,1998
David Quesada,LA ,F,1,0,9,0,0,1,0,1,0,0,0,0,1998
Joe Munoz,MET,F,1,0,12,0,0,1,0,0,0,0,0,0,1998
Matt Knowles,MET,D,7,7,548,0,0,1,1,16,8,0,2,0,1998
Tony Kuhn,CHI,F,5,1,137,0,0,1,0,4,0,1,0,0,1998
Nino Da Silva,KC ,F,1,0,32,0,0,1,0,0,3,0,0,0,1998
Dahir Mohammed,NE ,D,7,4,423,0,0,2,1,8,6,0,3,0,1998
Joey Martinez,MIA,D,6,6,390,0,0,2,0,10,1,0,1,1,1998
Tom Soehn,CHI,D,20,17,1543,0,0,2,0,33,12,0,5,0,1998
Tim Weaver,SJ ,D,12,12,1080,0,0,2,2,17,13,1,3,0,1998
Carlos Llamosa,DC ,D,18,18,1444,0,0,2,1,29,8,0,3,0,1998
Robin Fraser,LA ,D,29,29,2456,0,0,2,1,38,20,0,5,2,1998
Cristian da Silva,MET,D,3,3,177,0,0,3,0,5,0,0,2,0,1998
Adam Frye,TB ,D,10,8,710,0,0,3,0,7,10,1,1,0,1998
Brandon Pollard,DAL,D,29,26,2373,0,0,3,2,49,24,0,4,0,1998
Brian Johnson,KC ,M,6,1,140,0,0,3,0,1,1,0,0,0,1998
Janusz Michallik,NE ,M,12,9,759,0,0,4,1,8,11,0,0,0,1998
Mark Semioli,MET,D,10,10,829,0,0,4,3,13,13,0,4,1,1998
Jacek Ziober,TB ,F,3,3,196,0,0,4,2,2,4,2,1,0,1998
Cle Kooiman,MIA,D,14,14,1260,0,0,4,2,38,11,1,8,0,1998
Josh Keller,CHI,M,15,11,827,0,0,5,2,19,2,1,3,1,1998
Sean Henderson,COL,M,21,15,1266,0,0,6,2,20,14,0,3,1,1998
Jason Bent,COL,M,12,9,890,0,0,6,2,14,11,0,0,0,1998
Eric Quill,TB ,F,4,0,141,0,0,7,3,3,1,0,0,0,1998
Mario Gori,DC ,D,17,9,842,0,0,13,7,13,8,0,2,1,1998
Matt McKeon,KC ,D,22,21,1875,0,0,14,8,40,24,0,4,1,1998
Chris Klein,KC ,M,17,8,782,0,0,15,7,7,5,2,0,0,1998
David Nakhid,NE ,M,18,14,1350,0,0,15,7,20,19,1,2,0,1998
Vicente Figueroa,SJ ,D,20,10,1005,0,0,15,2,20,14,2,4,1,1998
Jason Kreis,DAL,M,32,32,2815,18,15,114,57,49,58,29,5,0,1999
Roy Lassiter,DC ,F,30,29,2626,18,11,85,47,25,34,43,5,1,1999
Stern John,CLB,F,28,26,2293,18,2,104,45,44,54,37,0,0,1999
Ronald Cerritos,SJ ,F,31,30,2721,15,9,75,45,23,34,35,2,0,1999
Joe-Max Moore,NE ,F,29,29,2610,15,8,83,47,49,66,23,1,0,1999
Ante Razov,CHI,F,30,24,2068,14,7,90,49,36,34,32,4,0,1999
Raul Diaz Arce,SJ ,F,31,29,2586,13,7,90,40,43,34,37,4,0,1999
Jeff Cunningham,CLB,F,28,15,1556,12,5,60,32,19,35,25,2,0,1999
Musa Shannon,TB ,M-F,27,21,1829,12,5,69,33,42,41,22,3,0,1999
Jaime Moreno,DC ,F,25,25,2114,10,13,70,34,55,74,12,5,0,1999
Jorge Dely Valdes,COL,F,32,27,2415,10,6,70,28,32,61,31,2,0,1999
Giovanni Savarese,NE ,F,27,25,2062,10,2,48,30,35,28,17,2,0,1999
Josh Wolff,CHI,F,28,17,1775,10,2,55,34,18,20,20,2,0,1999
Diego Serna,MIA,F,21,20,1862,10,2,62,26,52,65,23,6,0,1999
Cobi Jones,LA ,M,28,28,2488,8,8,62,32,34,80,32,4,0,1999
Wolde Harris,COL,F,29,24,2096,8,8,68,36,53,31,24,1,0,1999
Welton,LA ,F,29,27,2374,8,7,47,28,44,41,31,3,0,1999
A.J. Wood,DC ,F,24,13,1385,8,6,44,17,24,23,10,1,0,1999
Carlos Hermosillo,LA ,F,16,16,1280,8,3,38,24,19,15,24,3,0,1999
Preki,KC ,M,30,28,2572,7,11,97,31,24,77,1,3,0,1999
Clint Mathis,LA ,M,27,20,1890,7,6,63,19,22,26,14,1,1,1999
Paul Bravo,COL,M,25,23,1966,7,5,40,21,26,57,26,1,0,1999
Eduardo Hurtado,MET,F,28,26,2377,7,3,79,30,42,41,23,3,0,1999
Henry Gutierrez,MIA,M,30,28,2415,6,14,53,26,38,64,8,7,1,1999
Peter Nowak,CHI,M,28,28,2480,6,8,35,15,50,61,5,4,0,1999
Chris Klein,KC ,M,30,24,2198,6,5,39,16,13,20,4,0,0,1999
Steve Ralston,TB ,M,32,32,2872,5,18,41,17,20,40,3,0,0,1999
Ben Olsen,DC ,M,28,26,2292,5,11,43,26,65,59,9,3,0,1999
Brian McBride,CLB,F,25,25,2209,5,10,79,31,19,57,11,1,0,1999
Lubos Kubik,CHI,D,27,27,2387,5,8,42,12,36,32,0,6,2,1999
Alejandro Sequeira,SJ ,F,25,22,1789,5,3,43,20,32,41,18,2,0,1999
Marco Etcheverry,DC ,M,22,22,1890,4,17,37,18,22,54,4,8,1,1999
Carlos Valderrama,MIA,M,31,31,2762,4,15,30,12,24,60,1,3,1,1999
Eddie Lewis,SJ ,M,29,29,2546,4,14,55,25,36,48,9,4,0,1999
Jeff Baicher,NE ,M,30,30,2397,4,9,49,26,56,66,8,9,0,1999
Jerzy Podbrozny,CHI,F,29,28,2357,4,8,60,23,26,19,4,1,1,1999
Roy Myers,LA ,M-F,26,23,1970,4,7,28,17,50,55,9,6,0,1999
Chad Deering,DAL,M,25,22,1936,4,7,39,22,39,24,0,2,0,1999
Oscar Pareja,DAL,M,27,25,1954,4,6,32,17,37,59,7,3,0,1999
Manny Lagos,CHI,M,19,9,872,4,5,29,13,14,22,3,0,1,1999
Tyrone Marshall,MIA,D,28,25,2223,4,5,39,17,41,33,14,3,0,1999
Carey Talley,DC ,D,29,16,1603,4,4,22,5,40,19,0,6,1,1999
Dante Washington,DAL,F,21,10,989,4,4,36,18,20,21,15,0,0,1999
Alex Bunbury,KC ,F,19,17,1579,4,4,41,19,22,53,16,0,0,1999
Ivan McKinley,NE ,D-M,29,29,2430,4,4,42,18,41,15,5,8,1,1999
Ezra Hendrickson,LA ,D,26,19,1708,4,3,16,9,36,10,3,3,0,1999
Ted Eck,DAL,M-F,31,25,2290,4,3,27,13,35,42,0,4,0,1999
Chris Brown,KC ,M-F,28,19,1679,4,3,40,19,14,16,1,0,0,1999
Dario Brose,SJ ,M,27,12,1288,4,2,38,13,12,24,3,0,0,1999
Jefferson Gottardi,TB ,F,11,11,762,4,1,19,9,17,15,8,2,0,1999
Ariel Graziani,DAL,F,11,11,935,4,1,27,14,19,21,15,2,0,1999
Alexi Lalas,KC ,D,30,30,2700,4,1,31,16,40,42,9,8,0,1999
Edwin Gorter,MIA,M,21,18,1607,4,1,42,15,13,22,2,3,0,1999
Billy Walsh,MET,M,30,30,2675,4,0,30,15,33,19,2,2,1,1999
Mauricio Cienfuegos,LA ,M,30,29,2621,3,17,42,17,29,53,4,4,0,1999
Robert Warzycha,CLB,M,28,23,2077,3,12,48,16,29,41,3,6,0,1999
Roman Kosecki,CHI,F,25,23,1825,3,10,52,22,44,66,20,5,0,1999
Ross Paule,COL,M,26,26,2231,3,9,33,9,38,25,1,1,0,1999
Mauricio Ramos,TB ,M,30,28,2254,3,9,96,30,19,26,1,3,0,1999
Mark Chung,MET,M,26,22,1995,3,7,56,22,20,56,5,1,0,1999
Petter Villegas,MET,M,30,10,1409,3,6,42,9,22,39,3,1,0,1999
Chris Henderson,KC ,M,30,29,2625,3,6,47,22,40,35,18,4,0,1999
Geoff Aunger,DC ,D,26,24,2132,3,5,23,8,75,18,0,7,1,1999
Diego Gutierrez,CHI,D,28,25,2164,3,5,26,9,47,42,5,5,0,1999
Maurice Johnston,KC ,M-F,29,29,2537,3,4,44,18,49,36,9,8,0,1999
Ansil Elcock,CLB,D,28,20,1908,3,3,16,9,41,32,4,5,0,1999
John Maessner,DC ,M-D,24,21,1605,3,3,17,11,9,12,2,2,0,1999
Jorge Rodriguez,DAL,M-D,30,28,2538,3,3,20,10,33,28,3,3,0,1999
Johnny Torres,NE ,F,27,10,1248,3,3,28,14,25,32,17,1,0,1999
Henry Zambrano,MET,F,14,14,1186,3,3,33,17,13,22,22,2,0,1999
Ritchie Kotschau,CHI,D,15,11,1072,3,2,14,8,13,8,2,1,0,1999
Mauricio Wright,SJ ,D,27,27,2430,3,2,16,9,51,45,2,8,0,1999
John Jairo Trellez,DAL,F,17,9,792,3,2,16,7,10,16,15,0,0,1999
Joey DiGiamarino,COL,M,26,21,1913,3,2,26,11,35,42,8,3,0,1999
Zak Ibsen,LA ,M,23,9,822,3,1,16,9,10,6,1,2,0,1999
Jay Heaps,MIA,D,29,28,2511,3,1,34,18,54,34,2,7,1,1999
Dema Kovalenko,CHI,M,11,1,291,3,0,8,7,5,11,1,0,0,1999
Brian Maisonneuve,CLB,M,29,28,2495,2,8,28,15,40,43,4,2,0,1999
Richie Williams,DC ,M,23,23,1996,2,6,12,6,56,22,0,4,1,1999
Anders Limpar,COL,M,18,16,1358,2,6,20,5,35,34,3,4,1,1999
Simon Elliott,LA ,M,23,18,1691,2,5,26,8,17,14,2,2,0,1999
Danny Pena,LA ,D,27,27,2276,2,5,34,10,55,35,0,10,0,1999
Brian Kelly,MET,M,28,21,1843,2,4,52,18,20,23,16,1,0,1999
Sasa Curcic,MET,F,9,7,492,2,2,16,10,3,9,5,0,1,1999
Jair,NE ,M,21,17,1323,2,2,19,10,15,17,4,4,0,1999
Jeff Agoos,DC ,D,30,29,2610,2,2,32,11,27,48,1,5,0,1999
Bobby Rhine,DAL,M,16,4,488,2,1,4,2,4,7,11,0,0,1999
Steve Trittschuh,COL,D,12,10,970,2,1,6,3,16,12,0,1,2,1999
Richard Farrer,DAL,D,30,29,2608,2,1,7,4,14,16,0,1,1,1999
Chad McCarty,TB ,D,30,30,2640,2,1,8,5,37,20,0,8,0,1999
Steve Jolley,LA ,D,25,21,1940,2,1,10,5,27,15,1,2,0,1999
Eric Wynalda,MIA,F,6,6,487,2,1,15,5,3,13,4,1,0,1999
Seth George,LA ,F,9,1,201,2,0,5,5,5,3,7,1,0,1999
Mark Semioli,MET,D,24,24,2106,2,0,5,3,36,30,2,7,1,1999
Jamie Clark,SJ ,D,26,22,1894,2,0,6,3,37,19,1,7,0,1999
Saul Martinez,MIA,F,15,4,491,2,0,16,8,13,6,14,3,0,1999
Mauricio Solis,SJ ,M,12,12,1002,2,0,17,5,16,17,2,2,0,1999
Wade Barrett,SJ ,D,31,31,2790,1,8,20,6,63,32,1,5,0,1999
Greg Vanney,LA ,D,31,31,2790,1,7,34,9,39,26,1,3,0,1999
Mark Santel,DAL,M,26,22,1779,1,6,13,9,19,23,11,1,0,1999
Diego Sonora,DC ,M-D,27,27,2201,1,5,10,5,11,15,1,2,0,1999
Chris Armas,CHI,M,22,22,1935,1,5,20,7,40,35,0,4,0,1999
Ted Chronopoulos,NE ,D,31,31,2710,1,5,25,14,33,42,7,4,0,1999
Brian West,CLB,M-F,22,13,1074,1,4,11,3,20,16,10,1,0,1999
John Doyle,SJ ,D,27,25,2150,1,4,14,8,47,26,2,1,1,1999
Mike Lapper,CLB,D,31,30,2700,1,4,14,6,42,34,1,6,0,1999
Brian Kamler,DC ,M,28,23,2063,1,4,18,5,18,29,3,3,2,1999
Braeden Cloutier,SJ ,M,26,18,1576,1,4,20,6,44,12,0,6,1,1999
Mike Burns,NE ,M,28,28,2505,1,4,25,13,32,19,2,4,0,1999
Richard Mulrooney,SJ ,M,32,25,2338,1,3,13,5,28,41,3,5,0,1999
Jason Farrell,CLB,F,28,20,1725,1,3,24,16,22,8,6,4,0,1999
Roberto Gaucho,MIA,F,5,4,295,1,2,5,2,6,5,6,0,0,1999
Brian Haynes,DAL,M,18,3,532,1,2,6,1,10,8,0,1,1,1999
Paul Broome,DAL,M,13,5,627,1,2,12,8,10,15,4,2,0,1999
Jesse Marsch,CHI,M,29,27,2364,1,2,15,7,37,23,5,4,1,1999
Kevin Anderson,COL,M-D,17,11,920,1,2,16,7,14,10,2,0,1,1999
Mickey Trotman,DAL,F,7,6,491,1,2,19,6,15,13,9,0,0,1999
Nansha Kalonji,MET,D,19,9,930,1,2,29,9,14,15,3,2,0,1999
Marcelo Balboa,COL,D,27,27,2430,1,2,33,6,26,15,0,1,0,1999
Clint Peay,DC ,D,5,2,241,1,1,1,1,6,0,0,1,0,1999
John DeBrito,CLB,D,8,8,656,1,1,3,1,10,5,0,2,0,1999
Tom Soehn,CHI,D,23,14,1359,1,1,3,1,18,20,0,2,0,1999
Todd Yeagley,CLB,M,29,27,2356,1,1,3,2,42,31,2,2,0,1999
Jimmy Conrad,SJ ,D,17,12,1163,1,1,3,2,16,11,0,4,0,1999
Carlos Parra,MIA,M,21,11,1095,1,1,5,1,25,5,0,5,2,1999
Carlos Llamosa,DC ,D,17,17,1423,1,1,8,4,17,14,0,1,2,1999
Eric Quill,TB ,F,15,3,431,1,1,9,6,4,9,3,0,0,1999
Temoc Suarez,DAL,M,17,11,944,1,1,11,5,15,16,2,4,0,1999
Paul Caligiuri,LA ,D,27,27,2275,1,1,14,2,39,34,0,5,1,1999
Lawrence Lozzano,LA ,M,19,13,1164,1,1,16,8,32,10,2,3,0,1999
Mike Petke,MET,D,25,23,2022,1,1,30,8,24,20,0,5,1,1999
John Wolyniec,MET,F,4,0,69,1,0,1,1,1,1,1,0,0,1999
Ryan Tinsley,CHI,D,13,7,706,1,0,1,1,11,9,1,2,0,1999
Francisco Gomez,KC ,M,7,4,339,1,0,6,3,1,5,0,0,0,1999
Eddie Pope,DC ,D,19,18,1647,1,0,7,2,26,9,0,0,0,1999
Darren Sawatzky,COL,F,14,5,494,1,0,11,2,10,6,2,2,0,1999
Pete Marino,TB ,F,15,0,289,1,0,12,6,6,3,2,0,0,1999
Arley Palacios,MET,D,17,16,1370,1,0,13,3,46,13,0,4,1,1999
Mike Duhaney,MET,D,19,13,1037,1,0,18,7,20,8,2,1,0,1999
John Harkes,NE ,M,22,21,1880,0,8,25,5,31,29,2,1,0,1999
Dominic Kinnear,TB ,M,28,27,2151,0,7,10,5,36,40,1,4,1,1999
Leonel Alvarez,DAL,M,29,28,2452,0,7,19,7,45,35,1,4,1,1999
Nelson Vargas,MIA,M,22,14,1171,0,6,29,16,23,36,2,1,1,1999
Paul Dougherty,CHI,F,19,11,1079,0,5,15,5,12,22,0,0,0,1999
Brian Johnson,KC ,M,26,19,1674,0,5,20,2,41,17,1,1,0,1999
Tab Ramos,MET,M,5,4,347,0,3,4,2,4,8,3,1,0,1999
Mike Clark,CLB,D,30,30,2558,0,3,6,3,53,24,2,3,0,1999
Matt Kmosko,CLB,D,14,9,785,0,3,6,1,17,9,3,1,0,1999
Maurizio Rocha,MIA,M,11,5,555,0,3,8,3,11,9,2,0,0,1999
Pablo Mastroeni,MIA,M,23,23,2025,0,3,8,0,31,22,0,8,0,1999
Scott Bower,SJ ,M,17,6,649,0,3,9,4,4,4,1,1,0,1999
Scott Vermillion,KC ,D,24,22,1630,0,3,13,1,35,12,1,1,1,1999
Joe Franchino,LA ,M,25,16,1316,0,3,14,5,26,18,1,2,0,1999
Andy Williams,CLB,M,21,11,1227,0,3,30,9,31,38,1,0,0,1999
Miles Joseph,MET,M,20,13,1186,0,3,31,14,15,17,3,0,0,1999
Tim Sahaydak,MIA,D,9,4,276,0,2,1,0,3,3,1,0,0,1999
Kris Kelderman,NE ,M,18,11,995,0,2,3,2,14,9,0,1,0,1999
Jason Moore,DC ,M,16,12,999,0,2,5,0,15,45,2,5,1,1999
Brandon Pollard,DAL,D,31,31,2790,0,2,5,0,40,34,1,5,0,1999
C.J. Brown,CHI,D,26,26,2238,0,2,6,2,45,23,0,3,0,1999
Peter Vermes,COL,D,32,32,2880,0,2,7,0,29,38,2,5,0,1999
Jason Bent,COL,M,18,16,1497,0,2,8,2,20,20,2,5,0,1999
Antonio Otero,DC ,M,12,8,719,0,2,8,5,12,8,1,3,0,1999
Vitalis Takawira,KC ,F,18,6,651,0,2,16,8,11,18,7,0,0,1999
Sergi Daniv,DAL,M,13,12,1015,0,2,16,8,26,15,0,4,0,1999
Jim Rooney,MET,M,13,9,847,0,2,16,7,21,14,0,3,1,1999
Ramiro Corrales,MET,M,31,31,2659,0,2,20,5,28,31,1,4,1,1999
Matt McKeon,COL,D,28,27,2415,0,2,29,10,80,31,0,9,0,1999
Mike Sorber,MET,M,24,24,1976,0,2,37,7,33,27,1,5,0,1999
Adam Frye,SJ ,D,3,0,117,0,1,0,0,5,2,0,1,0,1999
Cesar Alvarado,TB ,M,1,0,4,0,1,0,0,0,0,0,0,0,1999
Chris Houser,TB ,D,9,5,529,0,1,0,0,11,3,0,3,0,1999
Joey Martinez,SJ ,D,15,13,995,0,1,1,0,20,6,0,2,0,1999
Harut Karapetyan,TB ,F,2,0,32,0,1,1,1,1,0,0,0,0,1999
Andrew Lewis,CHI,M,9,3,363,0,1,1,0,6,3,0,0,0,1999
Uche Okafor,KC ,D,26,26,2269,0,1,1,0,27,13,0,5,2,1999
Robin Fraser,LA ,D,24,23,2096,0,1,1,1,23,10,0,1,0,1999
Brandon Prideaux,KC ,D,15,8,937,0,1,2,0,10,16,0,1,0,1999
Guillermo Jara,COL,M,12,4,454,0,1,2,0,5,2,0,3,0,1999
Jake Dancy,KC ,M,14,10,964,0,1,4,2,11,11,0,2,0,1999
Tim Martin,COL,D,19,15,1295,0,1,4,0,21,19,0,4,0,1999
Marvin Quijano,LA ,F,7,1,167,0,1,4,1,3,5,4,1,0,1999
Paul Keegan,NE ,F,10,4,365,0,1,4,2,16,9,1,0,0,1999
Chris Albright,DC ,D,8,4,347,0,1,6,3,7,4,3,1,0,1999
Billy Thompson,CLB,M,16,9,791,0,1,6,2,12,12,4,1,0,1999
Sam George,CHI,M,27,26,2156,0,1,6,0,25,18,1,4,0,1999
Rob Smith,CLB,M,8,3,331,0,1,7,3,11,2,0,1,0,1999
Jeff Bilyk,MIA,M,11,10,901,0,1,7,4,24,10,1,4,0,1999
Brian Dunseth,NE ,D,29,25,2370,0,1,7,3,32,15,0,5,0,1999
Jorge Salcedo,LA ,M,19,12,1178,0,1,8,2,15,16,0,0,0,1999
Mohammad Khakpour,MET,D,14,14,1260,0,1,8,1,10,11,1,2,0,1999
Thomas Dooley,CLB,D,25,19,1697,0,1,10,5,13,18,2,1,0,1999
Frank Klopas,CHI,F,13,7,476,0,1,10,6,10,8,2,2,0,1999
Marquis White,COL,F,22,2,441,0,1,10,2,6,6,8,0,0,1999
Mario Gori,MIA,D,29,27,2294,0,1,11,3,36,32,2,4,1,1999
Jamar Beasley,NE ,M,18,3,502,0,1,16,8,8,13,7,1,0,1999
David Vaudreuil,COL,D,31,31,2774,0,1,17,6,37,41,3,2,0,1999
Tomasz Wygonik,MIA,M,0,0,0,0,0,0,0,0,0,0,0,0,1999
Tim Weaver,SJ ,D,1,1,90,0,0,0,0,1,0,0,0,0,1999
Jeff Zaun,CHI,D,1,1,90,0,0,0,0,1,1,0,1,0,1999
Tony Soto,KC ,D,4,3,176,0,0,0,0,4,1,0,1,0,1999
Jesse Van Saun,CHI,F,0,0,0,0,0,0,0,0,0,0,0,0,1999
Maxi Viera,SJ ,M,0,0,0,0,0,0,0,0,0,0,0,0,1999
Jose Vasquez,LA ,D,0,0,0,0,0,0,0,0,0,0,0,0,1999
Mike Slivinski,DC ,M,4,0,57,0,0,0,0,1,0,1,0,0,1999
Caleb Porter,SJ ,M,4,1,72,0,0,0,0,6,2,0,2,1,1999
Esmundo Rodriguez,SJ ,M,1,0,15,0,0,0,0,1,0,0,0,0,1999
John Rusek,MET,M-D,0,0,0,0,0,0,0,0,0,0,0,0,1999
Michael Green,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,1999
Ray Goodlett,DC ,D,0,0,0,0,0,0,0,0,0,0,0,0,1999
Chaka Daley,NE ,D,2,0,67,0,0,0,0,0,1,0,0,0,1999
Gabe Eastman,LA ,D,1,0,3,0,0,0,0,0,0,0,0,0,1999
Fernando Fernandes,MET,M,1,0,5,0,0,0,0,0,0,0,0,0,1999
Jaime Estupinan,LA ,M,0,0,0,0,0,0,0,0,0,0,0,0,1999
Carlos Farias,SJ ,M,2,1,72,0,0,0,0,2,1,0,0,0,1999
Anthony Farras,SJ ,F,0,0,0,0,0,0,0,0,0,0,0,0,1999
Andreas Maier,MIA,M,0,0,0,0,0,0,0,0,0,0,0,0,1999
Jim Manganello,MET,M,0,0,0,0,0,0,0,0,0,0,0,0,1999
Manny Motajo,NE ,D,2,1,56,0,0,0,0,2,0,0,0,0,1999
Curt Onalfo,DC ,D,1,0,7,0,0,0,0,0,0,0,0,0,1999
Leighton O'Brien,SJ ,M,4,0,62,0,0,0,0,1,0,0,0,0,1999
Andrew Parrish,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,1999
Scott Pearson,DC ,F,0,0,0,0,0,0,0,0,0,0,0,0,1999
Eric Kvello,MET,M,2,1,44,0,0,0,0,0,0,0,1,0,1999
Gabe Jones,DAL,F,0,0,0,0,0,0,0,0,0,0,0,0,1999
John Kerr,NE ,F,0,0,0,0,0,0,0,0,0,0,0,0,1999
Jose Botello,LA ,F,1,0,13,0,0,0,0,0,0,1,0,0,1999
Matt Chulis,CLB,D,4,3,260,0,0,0,0,4,4,0,1,0,1999
Judah Cooks,DC ,M,6,1,148,0,0,0,0,8,1,0,1,0,1999
Ubusuku Abukusumo,CLB,D,3,1,102,0,0,0,0,4,2,0,0,0,1999
Mark Baena,SJ ,F,0,0,0,0,0,0,0,0,0,0,0,0,1999
Evan Whitfield,CHI,D,0,0,0,0,0,0,0,0,0,0,0,0,1999
Carlos Rocha,NE ,F,1,0,20,0,0,0,0,1,1,1,1,0,1999
Richard Goulooze,NE ,D,11,9,805,0,0,1,0,15,4,0,1,0,1999
Rob Johnson,MET,F,1,0,45,0,0,1,0,0,1,0,0,0,1999
